Shri G.S. Institute of Technology & Science Indore (M.P.) (1952),CSE,1
Shri G.S. Institute of Technology & Science Indore (M.P.) (1952),IT,2
Shri G.S. Institute of Technology & Science Indore (M.P.) (1952),Electronics and Telecommunications,3
Institute of Engineering and Technology DAVV Indore (1996),CSE,4
Institute of Engineering and Technology DAVV Indore (1996),IT,5
Shri G.S. Institute of Technology & Science Indore (M.P.) (1952),EI,6
Shri G.S. Institute of Technology & Science Indore (M.P.) (1952),EE,7
Institute of Engineering and Technology DAVV Indore (1996),ET,8
Jabalpur Engineering College Jabalpur (JEC) (1947),CSE,9
Sri Aurobindo Institute of Technology Indore (2009),ELECT ELEX,10
Institute of Engineering and Technology DAVV Indore (1996),EI,11
Shri G.S. Institute of Technology & Science Indore (M.P.) (1952),MECH,12
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),CSE,13
Jabalpur Engineering College Jabalpur (JEC) (1947),IT,14
Jabalpur Engineering College Jabalpur (JEC) (1947),AIAIDS,15
Institute of Engineering and Technology DAVV Indore (1996),MECH,16
Shri G.S. Institute of Technology & Science Indore (M.P.) (1952),CE,17
University Institute of Technology RGPV Bhopal (1986),CSE,18
Rajeev Gandhi Prodyogiki Mahavidhyalaya Bhopal (2006),CSE,19
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),IT,20
University Institute of Technology RGPV Bhopal (1986),IT,21
Institute of Engineering and Technology DAVV Indore (1996),CE,22
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),CSD,23
Jabalpur Engineering College Jabalpur (JEC) (1947),EC,24
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),AIAIDS,25
UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),CSE,26
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),AIML,27
Shri G.S. Institute of Technology & Science Indore (M.P.) (1952),IP,28
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),AI,29
Jabalpur Engineering College Jabalpur (JEC) (1947),EE,30
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),ITAIAR,31
Nowgong Engineering College Nowgong (NEC) (2012),CE,32
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),CSBS,33
Lakshmi Narain College of Technology Bhopal (1994),CSE,34
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),ITIOT,35
Shri G.S. Institute of Technology & Science Indore (M.P.) (1952),BM,36
University Institute of Technology RGPV Bhopal (1986),EC,37
SCHOOL OF INFORMATION TECHNOLOGY RGPV BHOPAL,CSEIML,38
Guru Ramdas Khalsa Institute of Science & Technology Jabalpur (1997),CSE,39
Sha-Shib College of Technology Bhopal (2009),EC,40
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),Electronics and Telecommunications,41
Samrat Ashok Technological Institute Vidisha (1960),CSE,42
Acropolis Institute of Technology & Research Indore (2005),CSE,43
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),MAC,44
Lakshmi Narain College of Technology Bhopal (1994),CSEIML,45
University Institute of Technology RGPV Bhopal (1986),ELECT ELEX,46
Jabalpur Engineering College Jabalpur (JEC) (1947),MECH,47
SCHOOL OF INFORMATION TECHNOLOGY RGPV BHOPAL,CSEDS,48
Shri G.S. Institute of Technology & Science Indore (M.P.) (1952),BEIL,49
Saraswati Institute of Engineering & Technology Jabalpur (2008),CSE,50
Jabalpur Engineering College Jabalpur (JEC) (1947),CE,51
UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),EC,52
Rewa Engineering College Rewa (REC) (1964),CSE,53
Jabalpur Engineering College Jabalpur (JEC) (1947),MTENG,54
Lakshmi Narain College of Technology Bhopal (1994),AIADS,55
SCHOOL OF INFORMATION TECHNOLOGY RGPV BHOPAL,CSBS,56
Lakshmi Narain College of Technology & Science Bhopal (2006),CSE,57
Samrat Ashok Technological Institute Vidisha (1960),CSEAIADS,58
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),EL,59
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),EE,60
Mittal Institute of Technology Bhopal (2007),CSE,61
Kailash Narayan Patidar College of Science & Technology Bhopal (2008),CSE,62
Samrat Ashok Technological Institute Vidisha (1960),IT,63
Acropolis Institute of Technology & Research Indore (2005),CSEIML,64
Madhav Institute of Technology and Science Gwalior (1957)(Deemed University),EEIOT,65
Oriental Institute of Science & Technology Jabalpur (2008),CSE,66
Rewa Institute of Technology Rewa (2003),EC,67
UNIVERSITY INSTITUTE OF TECHNOLOGY RGPV SHIVPURI (2020),MECH,68
Samrat Ashok Technological Institute Vidisha (1960),CSEBC,69
University Institute of Technology RGPV Bhopal (1986),MECH,70
University Institute of Technology Barkatullah University Bhopal (1997),CSE,71
IASSCOM fortune Institute of Technology Bhopal (2008),CSE,72
Sanghvi Institute of management & Science Indore (2006),IT,73
UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),EE,74
University Institute of Technology RGPV Bhopal (1986),CE,75
Infinity Management & Engineering College Sagar (2008),EC,76
Hitkarni College of Engineering & Technology Jabalpur (1997),MECH,77
Infinity Management & Engineering College Sagar (2008),AIML,78
Lakshmi Narain College of Technology & Science Bhopal (2006),CSEIML,79
Acropolis Institute of Technology & Research Indore (2005),CSEDS,80
Acropolis Institute of Technology & Research Indore (2005),IT,81
Samrat Ashok Technological Institute Vidisha (1960),CSEIOT,82
Acropolis Institute of Technology & Research Indore (2005),CSECS,83
Gwalior Institute of Information Technology Gwalior (2008),IT,84
Lakshmi Narain College of Technology Excellence Bhopal (2007),CSE,85
Corporate Institute of Science & Technology Bhopal (2008),CSEIML,86
Truba Institute of Engineering & Information Technology Bhopal (2001),MECH,87
Indira Gandhi Engineering College Sagar (IGEC) (1981),IT,88
Institute of Engineering Jiwaji University Gwalior (1996),CSE,89
